Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSONIG00000018107	-	LG1	-	4080092	4083797	7.684401	13.029739	14.708892
ENSONIG00000018097	ano1a	LG1	-	4095844	4146477	1.549490	8.065311	9.104694
ENSONIG00000032473	-	LG1	-	4159786	4162049	0.000000	0.000000	0.000000
ENSONIG00000028697	-	LG1	-	4164218	4173197	0.000000	0.000000	0.000000
ENSONIG00000018095	zgc:153993	LG1	+	4176264	4184080	14.119700	19.758278	22.304543
ENSONIG00000041456	ccnd1	LG1	-	4245419	4248541	2.655702	3.716233	4.195147
ENSONIG00000039148	-	LG1	+	4260090	4263482	0.000000	0.000000	0.000000
ENSONIG00000042913	-	LG1	+	4370982	4372604	0.000000	0.000000	0.000000
ENSONIG00000032417	-	LG1	-	4391508	4395329	0.000000	0.000000	0.000000
ENSONIG00000035277	-	LG1	+	4441995	4445186	0.000000	0.000000	0.000000
ENSONIG00000005423	vstm2b	LG1	-	4469353	4507293	0.000000	0.000000	0.000000
ENSONIG00000005417	vps35	LG1	+	4520271	4558391	10.831093	45.052361	50.858295
ENSONIG00000041258	-	LG1	-	4551113	4553239	0.000000	0.000000	0.000000
ENSONIG00000005410	ANO9	LG1	-	4560534	4577946	5.101418	7.828174	8.836998
ENSONIG00000028794	-	LG1	-	4579875	4582475	0.000000	0.000000	0.000000
ENSONIG00000039376	-	LG1	-	4599521	4601042	12.138717	16.986206	19.175232
ENSONIG00000005403	shcbp1	LG1	+	4606900	4621164	1.397054	5.194385	5.863790
ENSONIG00000005401	spg21	LG1	-	4624279	4637105	38.847122	54.360378	61.365845
ENSONIG00000005479	LRRK1	LG1	+	4663008	4766483	2.151619	4.818346	5.439290
ENSONIG00000028995	-	LG1	-	4675510	4677123	0.000000	0.000000	0.000000
ENSONIG00000034634	-	LG1	-	4770987	4773209	0.000000	0.000000	0.000000
ENSONIG00000040572	-	LG1	+	4780010	4798196	0.000000	0.000000	0.000000
ENSONIG00000038365	-	LG1	+	4787579	4790530	0.000000	0.000000	0.000000
ENSONIG00000013802	ADAMTS17	LG1	+	4800203	4949828	0.000000	0.000000	0.000000
ENSONIG00000013805	MINAR1	LG1	+	4954084	4969323	0.000000	0.000000	0.000000
ENSONIG00000033071	-	LG1	+	4977674	4980274	0.000000	0.000000	0.000000
ENSONIG00000013807	mthfs	LG1	-	4988998	4995772	2.542334	3.557592	4.016062
ENSONIG00000013809	CERS3	LG1	-	5013197	5036000	7.147655	17.338411	19.572828
ENSONIG00000028048	-	LG1	+	5027311	5030013	0.000000	0.000000	0.000000
ENSONIG00000013810	-	LG1	-	5041348	5048065	3.464355	4.847815	5.472557
ENSONIG00000039807	asb7	LG1	+	5050951	5064065	2.147707	3.005375	3.392680
ENSONIG00000032648	-	LG1	-	5069445	5070992	0.000000	0.000000	0.000000
ENSONIG00000037983	-	LG1	-	5071656	5074256	0.000000	0.000000	0.000000
ENSONIG00000038449	-	LG1	-	5097023	5099029	0.000000	0.000000	0.000000
ENSONIG00000015036	ankdd1a	LG1	+	5100818	5106306	1.527397	2.137349	2.412791
ENSONIG00000015038	-	LG1	-	5116191	5122672	166.242325	509.334717	574.973145
ENSONIG00000015044	-	LG1	+	5184463	5198133	8.376228	11.721201	13.231722
ENSONIG00000015047	STARD5	LG1	-	5202171	5216339	0.000000	0.000000	0.000000
ENSONIG00000034411	oni-mir-10621b	LG1	+	5206787	5206849	0.000000	0.000000	0.000000
ENSONIG00000015050	TMC3	LG1	-	5217035	5250743	0.000000	0.000000	0.000000
ENSONIG00000033969	pole3	LG1	-	5265248	5279453	8.919929	12.482023	14.090592
ENSONIG00000015056	kmt5b	LG1	+	5285710	5292425	0.000000	0.000000	0.000000
ENSONIG00000015057	cd82a	LG1	+	5317580	5364261	0.000000	0.000000	0.000000
ENSONIG00000032466	oni-mir-10671	LG1	+	5326044	5326097	0.000000	0.000000	0.000000
ENSONIG00000015060	HERC1	LG1	-	5412679	5493403	6.409082	9.010386	10.171561
ENSONIG00000021931	U6	LG1	-	5420599	5420706	0.000000	0.000000	0.000000
ENSONIG00000015069	dapk2a	LG1	-	5506564	5532609	0.000000	0.000000	0.000000
ENSONIG00000028146	-	LG1	+	5533843	5552199	0.000000	0.000000	0.000000
ENSONIG00000015072	rab11a	LG1	+	5556653	5567113	7.823367	17.935963	20.247383
ENSONIG00000015074	-	LG1	-	5585209	5650381	0.000000	0.000000	0.000000
ENSONIG00000007145	htatip2	LG1	+	5707537	5710487	13.312906	18.629297	21.030069
ENSONIG00000007146	prmt3	LG1	+	5719082	5780348	3.110823	7.211819	8.141212
ENSONIG00000032200	-	LG1	+	5919000	5920013	0.000000	0.000000	0.000000
ENSONIG00000007149	NELL1	LG1	+	5944297	6230548	0.000000	0.000000	0.000000
ENSONIG00000029700	-	LG1	-	6094926	6100651	0.000000	0.000000	0.000000
ENSONIG00000040626	-	LG1	-	6173139	6174357	0.000000	0.000000	0.000000
ENSONIG00000021671	-	LG1	-	6306569	6306682	1.929825	2.700483	3.048497
ENSONIG00000007159	lrp4	LG1	-	6310996	6419391	0.000000	0.000000	0.000000
ENSONIG00000030923	A3GALT2	LG1	-	6536410	6539964	0.000000	0.000000	0.000000
ENSONIG00000028791	-	LG1	-	6560378	6561814	0.000000	0.000000	0.000000
ENSONIG00000033146	-	LG1	-	6583663	6586091	0.000000	0.000000	0.000000
ENSONIG00000039821	-	LG1	+	6583663	6589396	0.000000	0.000000	0.000000
ENSONIG00000039361	A3GALT2	LG1	-	6623245	6626193	0.000000	0.000000	0.000000
ENSONIG00000028598	A3GALT2	LG1	-	6631728	6634593	0.000000	0.000000	0.000000
ENSONIG00000028428	A3GALT2	LG1	-	6683026	6691820	0.000000	0.000000	0.000000
ENSONIG00000039724	A3GALT2	LG1	-	6738637	6741584	0.000000	0.000000	0.000000
ENSONIG00000030911	-	LG1	+	6745286	6747886	0.000000	0.000000	0.000000
ENSONIG00000039675	-	LG1	-	6794167	6799245	2.484241	3.476300	3.924294
ENSONIG00000007063	ero1a	LG1	-	6800237	6809299	4.900367	7.157550	8.079949
ENSONIG00000007076	SAMD4A	LG1	+	6814322	6884361	0.000000	0.000000	0.000000
ENSONIG00000007079	gch1	LG1	-	6897867	6913629	0.000000	0.000000	0.000000
ENSONIG00000007084	wdhd1	LG1	-	6917015	6937444	1.861472	3.749014	4.232152
ENSONIG00000007087	DENND4A	LG1	+	6976495	7080747	0.000000	0.000000	0.000000
ENSONIG00000042264	-	LG1	-	7039370	7040413	0.000000	0.000000	0.000000
ENSONIG00000007103	HACD3	LG1	-	7115216	7126910	3.141287	5.430023	6.129795
ENSONIG00000007107	slc22a18	LG1	+	7129875	7156220	1.355188	2.221005	2.507228
ENSONIG00000007114	-	LG1	+	7180125	7190733	0.000000	0.000000	0.000000
ENSONIG00000007125	mpped2a	LG1	+	7303478	7371514	4.161074	5.822762	6.573147
ENSONIG00000007127	zdhhc13	LG1	+	7422024	7431789	18.094503	36.959595	41.722607
ENSONIG00000007132	csrp3	LG1	-	7434193	7436976	0.000000	0.000000	0.000000
ENSONIG00000007135	e2f8	LG1	-	7441730	7448489	2.339989	3.274443	3.696423
ENSONIG00000007138	NAV2	LG1	+	7457921	7664448	0.383158	1.807154	2.040043
ENSONIG00000007144	dbx1a	LG1	-	7666685	7669422	0.000000	0.000000	0.000000
ENSONIG00000032653	pdcd7	LG1	+	7722236	7734941	4.147655	5.803984	6.551949
ENSONIG00000031699	UBAP1L	LG1	+	7737676	7742473	0.000000	0.000000	0.000000
ENSONIG00000034413	rasl12	LG1	+	7753716	7759608	1.682796	2.354806	2.658272
ENSONIG00000010416	uqcrfs1	LG1	-	7772831	7775808	76.682777	107.305367	121.133896
ENSONIG00000042873	-	LG1	+	7780012	7781346	0.000000	0.000000	0.000000
ENSONIG00000014631	mtfmt	LG1	+	7786001	7796116	4.278639	9.416111	10.629573
ENSONIG00000028987	5S_rRNA	LG1	-	7790502	7790618	0.000000	0.000000	0.000000
ENSONIG00000041873	-	LG1	+	7799953	7800957	0.000000	0.000000	0.000000
ENSONIG00000038233	-	LG1	+	7872092	7876615	0.000000	0.000000	0.000000
ENSONIG00000008282	pacsin3	LG1	+	7884943	7911016	6.344491	8.878107	10.022236
ENSONIG00000030708	5S_rRNA	LG1	+	7888690	7888808	0.000000	0.000000	0.000000
ENSONIG00000042169	-	LG1	-	7946262	7960271	1.250267	1.749550	1.975016
ENSONIG00000015033	-	LG1	+	7963789	7969435	18.095610	25.571409	28.866817
ENSONIG00000015031	-	LG1	+	7971921	7972112	11.588542	16.216324	18.306135
ENSONIG00000027733	mesd	LG1	+	7972648	7976431	17.438107	24.401859	27.546547
ENSONIG00000040573	-	LG1	-	7979218	7980318	0.000000	0.000000	0.000000
ENSONIG00000001973	CEMIP	LG1	-	7982044	8161543	0.000000	0.000000	0.000000
ENSONIG00000036152	-	LG1	+	8016330	8017862	0.000000	0.000000	0.000000
ENSONIG00000040244	abhd17c	LG1	-	8192446	8225398	0.000000	0.000000	0.000000
ENSONIG00000028423	-	LG1	+	8247900	8249834	0.000000	0.000000	0.000000
ENSONIG00000001978	arnt2	LG1	-	8258104	8353319	3.659922	12.648730	14.278782
ENSONIG00000030455	-	LG1	+	8278110	8279333	0.000000	0.000000	0.000000
ENSONIG00000035535	5S_rRNA	LG1	+	8283137	8283255	0.000000	0.000000	0.000000
ENSONIG00000034177	-	LG1	+	8324216	8327245	0.000000	0.000000	0.000000
ENSONIG00000037906	fah	LG1	-	8384725	8404318	2.259810	5.279140	5.959467
ENSONIG00000028091	lto1	LG1	-	8439982	8442585	8.496732	11.889826	13.422078
ENSONIG00000018091	fgf3	LG1	+	8508352	8512488	0.000000	0.000000	0.000000
ENSONIG00000038942	-	LG1	+	8566438	8613648	0.000000	0.000000	0.000000
ENSONIG00000040953	-	LG1	-	8582415	8586738	0.000000	0.000000	0.000000
ENSONIG00000029025	-	LG1	-	8587134	8587826	0.000000	0.000000	0.000000
ENSONIG00000041528	-	LG1	-	8606314	8612674	0.000000	0.000000	0.000000
ENSONIG00000030513	-	LG1	+	8607513	8608910	0.000000	0.000000	0.000000
ENSONIG00000032798	-	LG1	+	8619036	8622965	0.000000	0.000000	0.000000
ENSONIG00000007898	TNNT3	LG1	+	8626896	8655406	16.125620	31.548285	35.613941
ENSONIG00000007897	myod2	LG1	-	8656120	8660397	0.000000	0.000000	0.000000
ENSONIG00000026233	-	LG1	+	8660939	8665611	0.000000	0.000000	0.000000
ENSONIG00000041851	-	LG1	-	8750831	8752255	0.000000	0.000000	0.000000
ENSONIG00000038030	-	LG1	+	8757253	8771289	0.000000	0.000000	0.000000
ENSONIG00000008300	celf1	LG1	-	8820551	8891750	0.000000	0.000000	0.000000
ENSONIG00000041355	-	LG1	+	8866814	8869558	0.000000	0.000000	0.000000
ENSONIG00000027795	A3GALT2	LG1	-	8947014	8951598	12.506516	18.970207	21.414913
ENSONIG00000042626	-	LG1	+	8947724	8949151	0.000000	0.000000	0.000000
ENSONIG00000027873	-	LG1	-	9017023	9020457	0.000000	0.000000	0.000000
ENSONIG00000034018	-	LG1	-	9024438	9026284	0.000000	0.000000	0.000000
ENSONIG00000005920	-	LG1	-	9030200	9033017	0.000000	0.000000	0.000000
ENSONIG00000031906	-	LG1	-	9127248	9144199	0.000000	0.000000	0.000000
ENSONIG00000020452	chst1	LG1	-	9144220	9145506	0.000000	0.000000	0.000000
ENSONIG00000005915	-	LG1	+	9328157	9356191	0.601322	2.966329	3.348602
ENSONIG00000005912	slc1a2a	LG1	+	9358522	9380115	0.000000	0.000000	0.000000
ENSONIG00000042636	hsd17b12b	LG1	-	9379675	9594270	8.024336	15.275877	17.244492
ENSONIG00000005908	apip	LG1	+	9395478	9406053	5.722054	16.177124	18.261883
ENSONIG00000020451	LRRC4C	LG1	+	9476612	9478498	0.000000	0.000000	0.000000
ENSONIG00000036270	-	LG1	-	9568264	9569486	0.000000	0.000000	0.000000
ENSONIG00000005886	ttc17	LG1	-	9617116	9634761	4.163491	8.292325	9.360964
ENSONIG00000040460	traf6	LG1	+	9634545	9639789	6.309446	9.050163	10.216465
ENSONIG00000005867	trpm5	LG1	-	9640814	9658304	0.000000	0.000000	0.000000
ENSONIG00000005859	kcnq1.1	LG1	-	9665425	9706230	0.000000	0.000000	0.000000
ENSONIG00000034475	luzp2	LG1	+	9799702	9940679	1.586358	2.219856	2.505931
ENSONIG00000036464	-	LG1	+	10041918	10043516	0.000000	0.000000	0.000000
ENSONIG00000023333	-	LG1	-	10092819	10112769	24.851410	34.775600	39.257160
ENSONIG00000020450	fibinb	LG1	+	10143529	10144158	7.350794	10.286268	11.611869
ENSONIG00000005854	bbox1	LG1	+	10150923	10168779	0.000000	0.000000	0.000000
ENSONIG00000005841	MADD	LG1	-	10157864	10211197	1.575452	5.098849	5.755942
ENSONIG00000005828	nr1h3	LG1	-	10222043	10231276	9.625292	13.823856	15.605348
ENSONIG00000031018	arl14ep	LG1	+	10233638	10238001	14.438931	20.204990	22.808825
ENSONIG00000005826	fshb	LG1	-	10247868	10249207	0.000000	0.000000	0.000000
ENSONIG00000005824	KCNA4	LG1	+	10263597	10265701	0.000000	0.000000	0.000000
ENSONIG00000005822	cd151l	LG1	-	10367274	10385536	56.534340	79.110825	89.305908
ENSONIG00000005821	tmem138	LG1	+	10393108	10395062	0.000000	0.000000	0.000000
ENSONIG00000005817	-	LG1	-	10395749	10416368	0.000000	0.000000	0.000000
ENSONIG00000005804	ddb1	LG1	+	10416303	10461039	10.821236	17.101429	19.305305
ENSONIG00000027294	tspan4a	LG1	-	10478910	10637100	5.386605	9.042839	10.208198
ENSONIG00000005800	taldo1	LG1	+	10640399	10849886	53.277817	190.731857	215.311646
ENSONIG00000005791	SIN3A	LG1	+	10671208	10816822	3.857394	6.245581	7.050455
ENSONIG00000012848	crabp1b	LG1	-	10687975	10694891	4.980756	16.334587	18.439640
ENSONIG00000005782	slc25a44b	LG1	-	10698540	10702816	0.000000	0.000000	0.000000
ENSONIG00000005774	PSMA4	LG1	+	10704614	10736171	23.718573	33.190372	37.467644
ENSONIG00000005770	rbpms2b	LG1	+	10736673	10747278	35.747173	100.702484	113.680092
ENSONIG00000005763	cpeb1b	LG1	+	10757202	10766850	0.000000	0.000000	0.000000
ENSONIG00000034644	rps17	LG1	-	10771897	10777132	2445.949463	3495.294922	3945.736572
ENSONIG00000005753	csnk1g1	LG1	-	10778694	10812687	1.058434	7.802433	8.807939
ENSONIG00000005744	SNX1	LG1	-	10817945	10826369	4.513399	11.139033	12.574531
ENSONIG00000005730	neo1a	LG1	-	10832218	10983304	0.706958	2.925633	3.302662
ENSONIG00000005728	bbs4	LG1	-	11050013	11058612	1.634589	2.541112	2.868588
ENSONIG00000005721	scamp2l	LG1	-	11066182	11071027	8.130164	11.376873	12.843020
ENSONIG00000005713	myo9aa	LG1	-	11075504	11171015	0.399062	2.525472	2.850932
ENSONIG00000020449	senp8	LG1	+	11172333	11172998	3.264264	4.567819	5.156477
ENSONIG00000005711	GRAMD2A	LG1	-	11185029	11208766	0.000000	0.000000	0.000000
ENSONIG00000005706	znf609b	LG1	-	11213538	11264042	0.000000	0.000000	0.000000
ENSONIG00000005703	trip4	LG1	-	11299282	11379202	2.636915	3.689944	4.165470
ENSONIG00000005698	chrna7a	LG1	-	11382715	11404288	0.000000	0.000000	0.000000
ENSONIG00000005697	cln6a	LG1	+	11390620	11416947	1.255919	6.937659	7.831721
ENSONIG00000030053	-	LG1	-	11419409	11420554	0.000000	0.000000	0.000000
ENSONIG00000005694	calml4a	LG1	+	11421264	11425066	0.000000	0.000000	0.000000
ENSONIG00000005678	ADAMTS7	LG1	-	11429247	11500328	0.000000	0.000000	0.000000
ENSONIG00000005664	itga11a	LG1	-	11508144	11559419	2.441636	6.627695	7.481812
ENSONIG00000041808	-	LG1	-	11565197	11567266	0.000000	0.000000	0.000000
ENSONIG00000005661	CORO2B	LG1	+	11583653	11627688	1.106973	2.618142	2.955544
ENSONIG00000005652	anp32a	LG1	-	11627454	11633330	10.196753	27.277075	30.792294
ENSONIG00000013224	glceb	LG1	+	11692606	11745431	1.281871	1.793775	2.024940
ENSONIG00000013225	paqr5a	LG1	+	11762389	11771725	11.796753	16.507683	18.635040
ENSONIG00000027988	-	LG1	+	11773847	11774642	0.000000	0.000000	0.000000
ENSONIG00000002977	-	LG1	-	11774631	11775895	0.000000	0.000000	0.000000
ENSONIG00000013226	kif23	LG1	+	11775851	11789159	0.000000	0.000000	0.000000
ENSONIG00000013230	TLE3	LG1	-	11923413	11949569	3.019082	8.441061	9.528868
ENSONIG00000042496	-	LG1	-	12003347	12059922	0.000000	0.000000	0.000000
ENSONIG00000013232	UACA	LG1	-	12081065	12118593	1.238724	1.794940	2.026256
ENSONIG00000013241	-	LG1	-	12124118	12133717	6.613564	14.179420	16.006733
ENSONIG00000013250	-	LG1	-	12141131	12143767	0.000000	0.000000	0.000000
ENSONIG00000013251	PIAS1	LG1	-	12149998	12203602	0.000000	0.000000	0.000000
ENSONIG00000027793	-	LG1	-	12208497	12211097	0.000000	0.000000	0.000000
ENSONIG00000036681	map2k5	LG1	-	12246260	12304178	1.811779	2.545425	2.873456
ENSONIG00000013271	-	LG1	-	12330771	12356255	1.734962	2.427804	2.740677
ENSONIG00000013280	smad6a	LG1	-	12413990	12430157	47.890972	67.015808	75.652191
ENSONIG00000013283	tmem208	LG1	-	12445314	12447701	20.837652	29.158985	32.916725
ENSONIG00000042582	-	LG1	-	12449430	12450786	0.000000	0.000000	0.000000
ENSONIG00000020887	STOM	LG1	+	12449845	12450913	7.246377	10.140154	11.446923
ENSONIG00000013286	slc39a1	LG1	+	12456295	12460490	3.253599	4.552895	5.139630
ENSONIG00000013288	-	LG1	+	12465789	12472015	0.000000	0.000000	0.000000
ENSONIG00000013290	ABHD2	LG1	-	12499777	12512768	2.150117	3.041745	3.433737
ENSONIG00000013296	mfge8a	LG1	+	12514343	12526400	2.709375	8.173330	9.226634
ENSONIG00000013302	HAPLN3	LG1	+	12529402	12532196	0.000000	0.000000	0.000000
ENSONIG00000013305	mibp2	LG1	+	12541708	12543898	1750.926636	2450.143555	2765.895752
ENSONIG00000013317	slc30a4	LG1	+	12552398	12577993	6.094291	14.957103	16.884638
ENSONIG00000013314	bloc1s6	LG1	-	12554005	12558470	18.398432	25.745682	29.063551
ENSONIG00000038594	zgc:153317	LG1	-	12574069	12575302	60.986324	85.340668	96.338593
ENSONIG00000021870	oni-mir-147	LG1	-	12574206	12574268	0.000000	0.000000	0.000000
ENSONIG00000013321	afg2b	LG1	-	12575591	12580353	4.305817	6.025307	6.801793
ENSONIG00000013323	-	LG1	+	12582434	12599125	31.256943	51.449467	58.079800
ENSONIG00000013335	dtwd1	LG1	-	12599677	12606553	1.870044	2.616830	2.954062
ENSONIG00000013338	fgf7	LG1	-	12612783	12617858	19.596802	27.422611	30.956587
ENSONIG00000013341	cops2	LG1	+	12654545	12662016	26.093601	41.897873	47.297287
ENSONIG00000013343	SECISBP2L	LG1	+	12664980	12679196	2.959274	5.286770	5.968080
ENSONIG00000030018	-	LG1	+	12686275	12694360	0.000000	0.000000	0.000000
ENSONIG00000013348	FBN1	LG1	+	12712249	12771472	12.161734	19.030272	21.482718
ENSONIG00000013362	dut	LG1	-	12772693	12775554	25.859108	43.826878	49.474884
ENSONIG00000013365	SLC12A1	LG1	-	12778542	12790437	0.000000	0.000000	0.000000
ENSONIG00000013374	myef2	LG1	+	12800690	12810272	12.746225	30.441141	34.364117
ENSONIG00000033946	slc24a5	LG1	-	12811334	12816399	0.000000	0.000000	0.000000
ENSONIG00000042066	-	LG1	+	12821815	12823477	8.340523	11.671237	13.175319
ENSONIG00000035518	-	LG1	-	12828186	12829301	0.000000	0.000000	0.000000
ENSONIG00000037084	PHKA2	LG1	-	12863245	12878096	1.405186	2.660689	3.003574
ENSONIG00000029034	-	LG1	+	12882501	12883749	0.000000	0.000000	0.000000
