GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
645553	1.57e-40	3.88e-43	0.4432	-13.7697365	-6.102484	60.28	IGFL2-AS1	IGFL2 antisense RNA 1
81848	4.86e-40	1.23e-42	0.1175	-13.6861585	-1.6085216	2511.19	SPRY4	sprouty RTK signaling antagonist 4
3914	1.31e-39	3.38e-42	0.5533	-13.6123037	-7.5314457	962.68	LAMB3	laminin subunit beta 3
966	4.17e-39	1.10e-41	0.1194	-13.5258785	-1.6146054	13967.21	CD59	CD59 molecule (CD59 blood group)
2634	5.20e-39	1.40e-41	0.3068	-13.5080735	-4.1444979	43.83	GBP2	guanylate binding protein 2
80201	5.72e-39	1.57e-41	0.4937	-13.49956	-6.6653716	153.53	HKDC1	hexokinase domain containing 1
23235	1.18e-37	3.31e-40	0.0495	-13.273153	-0.6569797	1738.59	SIK2	salt inducible kinase 2
57493	4.56e-37	1.30e-39	0.1849	-13.1700734	-2.434763	2218.93	HEG1	heart development protein with EGF like domains 1
3339	1.07e-36	3.12e-39	0.1907	-13.1042054	-2.4988161	13113.58	HSPG2	heparan sulfate proteoglycan 2
1116	1.14e-36	3.40e-39	0.5475	-13.0976157	-7.1704284	261.89	CHI3L1	chitinase 3 like 1
5595	4.83e-36	1.46e-38	0.0559	-12.9863123	-0.7262387	2480.56	MAPK3	mitogen-activated protein kinase 3
128866	7.04e-36	2.17e-38	0.0541	-12.9559387	-0.7007613	5524.17	CHMP4B	charged multivesicular body protein 4B
57449	1.44e-35	4.52e-38	0.093	-12.8996452	-1.1990937	1306.42	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5
57822	1.49e-35	4.76e-38	0.1837	-12.8956362	-2.3694251	287.83	GRHL3	grainyhead like transcription factor 3
5493	2.82e-35	9.18e-38	0.1989	-12.8449679	-2.5550983	1503.99	PPL	periplakin
7145	8.31e-35	2.75e-37	0.5157	-12.7596783	-6.5801558	637.87	TNS1	tensin 1
6274	1.62e-34	5.46e-37	0.4888	-12.7062888	-6.2114672	386.81	S100A3	S100 calcium binding protein A3
83394	5.94e-33	2.03e-35	0.2551	-12.4200246	-3.1678433	290.78	PITPNM3	PITPNM family member 3
358	6.40e-33	2.23e-35	0.438	-12.4127851	-5.4362639	317.16	AQP1	aquaporin 1 (Colton blood group)
1289	9.52e-33	3.37e-35	0.1597	-12.3796647	-1.977257	2338.08	COL5A1	collagen type V alpha 1 chain
54538	1.54e-32	5.54e-35	0.428	-12.3395759	-5.2819482	58.87	ROBO4	roundabout guidance receptor 4
401944	4.05e-32	1.48e-34	0.2065	-12.2603958	-2.5319252	2003.23	LDLRAD2	low density lipoprotein receptor class A domain containing 2
1307	4.34e-32	1.61e-34	0.3691	-12.2535895	-4.5225689	389	COL16A1	collagen type XVI alpha 1 chain
105369370	5.60e-32	2.11e-34	0.3758	-12.2316008	-4.5972251	38.57	LOC105369370	uncharacterized LOC105369370
1508	1.95e-31	7.45e-34	0.1947	-12.1286032	-2.3608819	34357.41	CTSB	cathepsin B
4000	1.98e-31	7.66e-34	0.13	-12.1263432	-1.5764725	37461.24	LMNA	lamin A/C
64403	2.75e-31	1.08e-33	0.0792	-12.0979838	-0.9581055	978.71	CDH24	cadherin 24
84128	2.75e-31	1.10e-33	0.0771	12.0968175	0.9325719	3656.46	WDR75	WD repeat domain 75
8434	4.76e-31	1.92e-33	0.0805	-12.0507175	-0.9701398	654.62	RECK	reversion inducing cysteine rich protein with kazal motifs
222166	9.86e-31	4.04e-33	0.0466	-11.9893065	-0.5588959	1089.72	MTURN	maturin, neural progenitor differentiation regulator homolog
84298	7.55e-30	3.14e-32	0.0588	11.8183661	0.6954985	2365.58	LLPH	LLP homolog, long-term synaptic facilitation factor
3429	9.36e-30	3.94e-32	0.3005	-11.7991313	-3.5454787	111.09	IFI27	interferon alpha inducible protein 27
64753	1.27e-29	5.43e-32	0.1974	-11.7721228	-2.3236883	320.33	CCDC136	coiled-coil domain containing 136
54516	2.27e-29	9.84e-32	0.0902	11.7219657	1.056989	1303.2	MTRF1L	mitochondrial translation release factor 1 like
58476	2.48e-29	1.08e-31	0.1015	-11.713688	-1.1884347	1262.4	TP53INP2	tumor protein p53 inducible nuclear protein 2
5818	2.82e-29	1.25e-31	0.1035	-11.7014373	-1.21091	5080.78	NECTIN1	nectin cell adhesion molecule 1
50650	3.78e-29	1.70e-31	0.1584	-11.6756969	-1.8498909	1143.49	ARHGEF3	Rho guanine nucleotide exchange factor 3
7779	6.17e-29	2.81e-31	0.0873	-11.6327678	-1.0157463	1321.01	SLC30A1	solute carrier family 30 member 1
91768	6.49e-29	2.99e-31	0.1606	-11.6274035	-1.8677749	485.17	CABLES1	Cdk5 and Abl enzyme substrate 1
57620	9.18e-29	4.28e-31	0.0732	11.596828	0.8490581	1465.05	STIM2	stromal interaction molecule 2
100131378	3.86e-28	1.82e-30	0.162	-11.4721195	-1.8586985	73.99	C11orf91	chromosome 11 open reading frame 91
200933	4.45e-28	2.12e-30	0.0551	11.4588329	0.6316321	647.28	FBXO45	F-box protein 45
79991	1.10e-27	5.31e-30	0.0826	-11.3791844	-0.9401424	1409.39	STN1	STN1 subunit of CST complex
3872	1.10e-27	5.36e-30	0.4159	-11.3783364	-4.7324309	761.64	KRT17	keratin 17
79789	1.30e-27	6.41e-30	0.1302	-11.362788	-1.4793605	240.65	CLMN	calmin
317762	1.74e-27	8.69e-30	0.0682	-11.3361499	-0.7726087	2801.99	CCDC85C	coiled-coil domain containing 85C
102464833	3.78e-27	1.91e-29	0.1589	-11.2670207	-1.7901191	93.96	MIR6084	microRNA 6084
53371	6.36e-27	3.25e-29	0.0464	11.2200143	0.5203143	1262.7	NUP54	nucleoporin 54
7163	1.31e-26	6.76e-29	0.0516	11.155071	0.5752495	1644.79	TPD52	tumor protein D52
83937	2.03e-26	1.06e-28	0.2054	-11.115138	-2.2834167	85.18	RASSF4	Ras association domain family member 4
6772	8.00e-26	4.22e-28	0.0716	10.9910029	0.7864167	6885.85	STAT1	signal transducer and activator of transcription 1
2934	8.55e-26	4.56e-28	0.2025	-10.983994	-2.2242241	10396.03	GSN	gelsolin
100505696	1.17e-25	6.31e-28	0.1983	-10.9547428	-2.1727621	1522.1	SH3BP5-AS1	SH3BP5 antisense RNA 1
23231	2.61e-25	1.42e-27	0.2331	-10.880837	-2.5367071	1458.64	SEL1L3	SEL1L family member 3
107984247	2.86e-25	1.57e-27	0.1503	-10.8715804	-1.6341927	315.96	LOC107984247	
81	2.94e-25	1.63e-27	0.1419	-10.8682147	-1.5425666	18384.41	ACTN4	actinin alpha 4
388121	4.92e-25	2.76e-27	0.3141	-10.8201119	-3.3988265	31.26	TNFAIP8L3	TNF alpha induced protein 8 like 3
10926	7.10e-25	4.03e-27	0.0751	10.7855658	0.8097251	415.7	DBF4	DBF4 zinc finger
25907	1.05e-24	5.99e-27	0.3154	-10.7490269	-3.3897883	1182.96	TMEM158	transmembrane protein 158
64847	1.08e-24	6.23e-27	0.084	-10.7453777	-0.9027717	4623.41	SPATA20	spermatogenesis associated 20
6597	1.21e-24	7.06e-27	0.4822	-10.7339051	-5.1755452	32773.97	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
9922	1.42e-24	8.35e-27	0.0502	-10.7183428	-0.5381833	3201.96	IQSEC1	IQ motif and Sec7 domain ArfGEF 1
23555	1.69e-24	1.00e-26	0.2011	-10.7012549	-2.1520289	1473.18	TSPAN15	tetraspanin 15
54529	1.70e-24	1.02e-26	0.0594	10.6996995	0.6360378	1317.45	ASNSD1	asparagine synthetase domain containing 1
4051	2.22e-24	1.35e-26	0.3514	-10.6740228	-3.7503185	36.51	CYP4F3	cytochrome P450 family 4 subfamily F member 3
60312	3.29e-24	2.02e-26	0.1222	-10.6364663	-1.3001872	2175.45	AFAP1	actin filament associated protein 1
3699	3.55e-24	2.19e-26	0.5001	-10.628582	-5.3148655	113.73	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3
93082	5.13e-24	3.20e-26	0.434	-10.5934587	-4.5976368	25.11	NEURL3	neuralized E3 ubiquitin protein ligase 3
23568	5.46e-24	3.44e-26	0.0399	-10.5866527	-0.4228083	2465.43	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein
387763	6.51e-24	4.13e-26	0.2529	-10.5694075	-2.6726588	204.91	C11orf96	chromosome 11 open reading frame 96
220388	1.02e-23	6.50e-26	0.1475	10.5267944	1.5525756	190.49	CCDC89	coiled-coil domain containing 89
137682	2.45e-23	1.58e-25	0.0552	-10.4427574	-0.5762833	439.06	NDUFAF6	NADH:ubiquinone oxidoreductase complex assembly factor 6
9854	2.70e-23	1.76e-25	0.0853	10.4327463	0.889726	1617.47	C2CD2L	C2CD2 like
9467	3.15e-23	2.07e-25	0.2554	-10.4170566	-2.6600054	2186.55	SH3BP5	SH3 domain binding protein 5
2034	3.49e-23	2.31e-25	0.4719	-10.4066082	-4.9106087	359.16	EPAS1	endothelial PAS domain protein 1
55357	7.38e-23	4.93e-25	0.282	-10.3342719	-2.9141614	987.44	TBC1D2	TBC1 domain family member 2
57000	7.72e-23	5.20e-25	0.2023	-10.3292104	-2.089441	319.58	GSN-AS1	GSN antisense RNA 1
316	1.20e-22	8.15e-25	0.5378	-10.2859571	-5.5320621	36.7	AOX1	aldehyde oxidase 1
22978	1.63e-22	1.12e-24	0.0731	-10.2557005	-0.7492594	1530.25	NT5C2	5'-nucleotidase, cytosolic II
23529	1.86e-22	1.29e-24	0.1131	-10.2418695	-1.158793	666.81	CLCF1	cardiotrophin like cytokine factor 1
2321	2.95e-22	2.05e-24	0.5848	-10.1965565	-5.9631305	41.94	FLT1	fms related receptor tyrosine kinase 1
5296	3.08e-22	2.16e-24	0.0672	-10.1915616	-0.6844712	6384.45	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2
3553	3.43e-22	2.43e-24	0.9194	-10.180358	-9.3595817	502.74	IL1B	interleukin 1 beta
6389	4.97e-22	3.57e-24	0.0402	-10.1426086	-0.4082078	8560.74	SDHA	succinate dehydrogenase complex flavoprotein subunit A
55280	4.97e-22	3.56e-24	0.0477	10.1430887	0.4842748	687.23	CWF19L1	CWF19 like cell cycle control factor 1
9235	5.05e-22	3.66e-24	0.3763	-10.1403031	-3.8154677	285.52	IL32	interleukin 32
10054	5.13e-22	3.74e-24	0.0525	10.1380611	0.5322328	4676.16	UBA2	ubiquitin like modifier activating enzyme 2
3269	8.28e-22	6.09e-24	0.4953	-10.0904318	-4.9973432	122.33	HRH1	histamine receptor H1
25771	8.61e-22	6.38e-24	0.0832	-10.0858678	-0.8388468	1038.25	TBC1D22A	TBC1 domain family member 22A
29979	9.40e-22	7.07e-24	0.0437	10.075788	0.4403253	5514.26	UBQLN1	ubiquilin 1
7077	9.40e-22	7.06e-24	0.204	-10.0759076	-2.0559585	22937.29	TIMP2	TIMP metallopeptidase inhibitor 2
408	1.05e-21	7.96e-24	0.1619	-10.0640984	-1.6291597	1993.15	ARRB1	arrestin beta 1
22898	1.98e-21	1.51e-23	0.1127	-10.0006406	-1.126817	406.15	DENND3	DENN domain containing 3
144501	2.10e-21	1.62e-23	0.602	-9.9941018	-6.0165699	335.21	KRT80	keratin 80
51200	2.29e-21	1.77e-23	0.7121	-9.9849736	-7.1105785	5601.6	CPA4	carboxypeptidase A4
23677	2.66e-21	2.07e-23	0.1402	-9.9695134	-1.3972338	3345.35	SH3BP4	SH3 domain binding protein 4
6752	2.88e-21	2.26e-23	0.2786	-9.9607809	-2.7750165	177.38	SSTR2	somatostatin receptor 2
6672	5.80e-21	4.60e-23	0.5812	-9.8901021	-5.747783	171.86	SP100	SP100 nuclear antigen
6695	6.33e-21	5.05e-23	0.552	-9.8807092	-5.4537459	525.79	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1
3675	1.21e-20	9.73e-23	0.3817	-9.8147375	-3.7461225	13023.99	ITGA3	integrin subunit alpha 3
79644	2.39e-20	1.93e-22	0.055	9.7454779	0.5360342	971.1	SRD5A3	steroid 5 alpha-reductase 3
79602	2.87e-20	2.33e-22	0.0355	9.726056	0.345009	3688.83	ADIPOR2	adiponectin receptor 2
79783	3.75e-20	3.08e-22	0.122	-9.6979364	-1.1829229	270.94	SUGCT	succinyl-CoA:glutarate-CoA transferase
8714	5.85e-20	4.83e-22	0.5511	-9.6518477	-5.3188492	85.5	ABCC3	ATP binding cassette subfamily C member 3
8833	9.38e-20	7.80e-22	0.0478	9.6025529	0.4589396	2623.09	GMPS	guanine monophosphate synthase
3664	1.05e-19	8.79e-22	0.5247	-9.590234	-5.0323776	26.24	IRF6	interferon regulatory factor 6
4881	1.16e-19	9.76e-22	0.3578	-9.5793815	-3.4276827	55.19	NPR1	natriuretic peptide receptor 1
54436	1.40e-19	1.19e-21	0.5663	-9.5592173	-5.412917	51.47	SH3TC1	SH3 domain and tetratricopeptide repeats 1
4814	1.44e-19	1.23e-21	0.1005	-9.5555392	-0.9603719	3561.05	NINJ1	ninjurin 1
11131	1.84e-19	1.58e-21	0.4479	-9.5296399	-4.2681035	27.7	CAPN11	calpain 11
5073	1.89e-19	1.64e-21	0.048	9.5258827	0.4568306	2151.47	PARN	poly(A)-specific ribonuclease
3732	2.60e-19	2.26e-21	0.424	-9.4922987	-4.0244994	1981.03	CD82	CD82 molecule
23650	2.66e-19	2.33e-21	0.5878	-9.489057	-5.5779046	87.73	TRIM29	tripartite motif containing 29
6273	3.34e-19	2.94e-21	0.375	-9.4647049	-3.5493269	329.17	S100A2	S100 calcium binding protein A2
375346	5.53e-19	4.90e-21	0.0531	9.4112089	0.499905	847.22	STIMATE	STIM activating enhancer
123920	6.39e-19	5.70e-21	0.076	-9.3953557	-0.7141855	4487.28	CMTM3	CKLF like MARVEL transmembrane domain containing 3
55107	6.86e-19	6.17e-21	0.4513	-9.38711	-4.236054	28.3	ANO1	anoctamin 1
79778	8.48e-19	7.66e-21	0.1978	-9.3642002	-1.8525426	2551.87	MICALL2	MICAL like 2
9580	8.62e-19	7.84e-21	0.1768	-9.3617222	-1.6552236	1162.26	SOX13	SRY-box transcription factor 13
25959	9.59e-19	8.77e-21	0.1205	-9.3499021	-1.1269236	3272.01	KANK2	KN motif and ankyrin repeat domains 2
10196	9.85e-19	9.07e-21	0.0514	9.3464019	0.4801306	1374.95	PRMT3	protein arginine methyltransferase 3
10783	1.41e-18	1.31e-20	0.1029	-9.3075423	-0.9576451	1567.15	NEK6	NIMA related kinase 6
90865	1.46e-18	1.36e-20	0.4739	-9.3034764	-4.4087348	41.27	IL33	interleukin 33
2817	1.70e-18	1.59e-20	0.1794	-9.2864781	-1.6658943	11490.46	GPC1	glypican 1
9220	1.82e-18	1.72e-20	0.107	-9.2785156	-0.9924252	381.77	TIAF1	replaced by ID 399687
728431	2.49e-18	2.36e-20	0.1584	-9.244636	-1.464355	196.74	ZC3H12A-DT	ZC3H12A divergent transcript
23180	3.01e-18	2.89e-20	0.1418	-9.2230492	-1.3076025	117.55	RFTN1	raftlin, lipid raft linker 1
3860	3.01e-18	2.88e-20	0.8164	-9.2233707	-7.529632	2152.43	KRT13	keratin 13
254428	3.16e-18	3.05e-20	0.0551	-9.2172581	-0.5074202	2486.85	SLC41A1	solute carrier family 41 member 1
2121	7.94e-18	7.76e-20	0.0437	-9.1164759	-0.3983551	3898.82	EVC	EvC ciliary complex subunit 1
1956	7.94e-18	7.74e-20	0.1364	-9.1167574	-1.2436942	179.3	EGFR	epidermal growth factor receptor
8644	9.65e-18	9.48e-20	0.4414	-9.0947719	-4.0141585	45.12	AKR1C3	aldo-keto reductase family 1 member C3
80311	9.74e-18	9.63e-20	0.1416	9.0930583	1.2875802	506.5	KLHL15	kelch like family member 15
6352	1.05e-17	1.05e-19	0.5765	-9.0839003	-5.2371034	231.91	CCL5	C-C motif chemokine ligand 5
286204	1.24e-17	1.24e-19	0.2034	-9.0652755	-1.8442797	112.1	CRB2	crumbs cell polarity complex component 2
4329	1.24e-17	1.24e-19	0.1215	-9.0656783	-1.1015037	174.54	ALDH6A1	aldehyde dehydrogenase 6 family member A1
105372424	1.33e-17	1.35e-19	0.5383	-9.0566016	-4.8747599	51.52	LOC105372424	uncharacterized LOC105372424
6678	1.85e-17	1.89e-19	0.5264	-9.0195997	-4.7480203	923.69	SPARC	secreted protein acidic and cysteine rich
23479	1.85e-17	1.88e-19	0.0514	-9.0200674	-0.464026	3268.88	ISCU	iron-sulfur cluster assembly enzyme
164668	2.20e-17	2.26e-19	0.34	-8.9999314	-3.0599594	25.76	APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H
23264	2.37e-17	2.45e-19	0.0704	-8.9909852	-0.6333291	6507.01	ZC3H7B	zinc finger CCCH-type containing 7B
3866	2.42e-17	2.52e-19	0.5981	-8.9879817	-5.3758893	194.61	KRT15	keratin 15
653145	3.26e-17	3.41e-19	0.6536	-8.954656	-5.8526477	139.46	ANXA8	annexin A8
57162	3.40e-17	3.57e-19	0.1592	-8.9494094	-1.4244395	277.55	PELI1	pellino E3 ubiquitin protein ligase 1
5205	3.99e-17	4.22e-19	0.3744	-8.9311284	-3.3439733	1043.47	ATP8B1	ATPase phospholipid transporting 8B1
6046	4.00e-17	4.24e-19	0.0611	8.9304148	0.5455277	12189.87	BRD2	bromodomain containing 2
55332	4.44e-17	4.74e-19	0.1288	-8.9182253	-1.1487916	3145.94	DRAM1	DNA damage regulated autophagy modulator 1
84913	4.70e-17	5.04e-19	0.3618	-8.9114714	-3.2237784	92.67	ATOH8	atonal bHLH transcription factor 8
1954	6.74e-17	7.26e-19	0.0805	-8.8707896	-0.7144088	4466.77	MEGF8	multiple EGF like domains 8
56971	7.98e-17	8.65e-19	0.1383	-8.8513196	-1.2241458	324.3	CEACAM19	CEA cell adhesion molecule 19
55057	8.26e-17	9.00e-19	0.3527	-8.8468858	-3.1206011	41.09	CRYBG2	crystallin beta-gamma domain containing 2
134	8.50e-17	9.36e-19	0.5317	-8.8425044	-4.7018561	268.11	ADORA1	adenosine A1 receptor
200942	8.50e-17	9.33e-19	0.182	-8.8428461	-1.6090342	686.86	KLHDC8B	kelch domain containing 8B
7185	8.99e-17	9.94e-19	0.6415	-8.8357725	-5.6685345	945.17	TRAF1	TNF receptor associated factor 1
1786	1.05e-16	1.17e-18	0.0502	8.8178569	0.4427016	4562.89	DNMT1	DNA methyltransferase 1
646962	1.06e-16	1.18e-18	0.6289	-8.8165232	-5.5449739	31.26	HRCT1	histidine rich carboxyl terminus 1
652995	1.10e-16	1.24e-18	0.8242	-8.8110986	-7.2622112	156.69	UCA1	urothelial cancer associated 1
7450	1.37e-16	1.55e-18	0.8709	-8.7861525	-7.6516833	421.31	VWF	von Willebrand factor
4584	1.41e-16	1.61e-18	0.3357	-8.7819159	-2.9481391	45.68	MUC3A	mucin 3A, cell surface associated
5672	1.41e-16	1.60e-18	0.5462	-8.782107	-4.7967111	21.99	PSG4	pregnancy specific beta-1-glycoprotein 4
51534	1.90e-16	2.18e-18	0.0713	8.747639	0.6238878	2620.48	VTA1	vesicle trafficking 1
389118	2.44e-16	2.81e-18	0.6184	-8.7189309	-5.3914099	21.76	CDHR4	cadherin related family member 4
3918	2.56e-16	2.96e-18	0.4513	-8.7128052	-3.932063	81.14	LAMC2	laminin subunit gamma 2
2590	2.78e-16	3.23e-18	0.0917	-8.7030849	-0.7977969	8066.44	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2
7052	2.78e-16	3.24e-18	0.5182	-8.7025936	-4.5098476	9267.71	TGM2	transglutaminase 2
9119	3.58e-16	4.20e-18	0.728	-8.6732663	-6.3145344	25.66	KRT75	keratin 75
5365	3.76e-16	4.43e-18	0.1478	-8.6671119	-1.2806549	839.67	PLXNB3	plexin B3
10608	4.01e-16	4.75e-18	0.0856	-8.6593337	-0.7415314	4608.19	MXD4	MAX dimerization protein 4
101927096	4.20e-16	5.00e-18	0.5096	-8.6532896	-4.4095854	34.57	CLMAT3	colorectal liver metastasis associated transcript 3
84740	5.63e-16	6.73e-18	0.1644	-8.6194316	-1.4173007	142.11	AFAP1-AS1	AFAP1 antisense RNA 1
7884	6.05e-16	7.27e-18	0.0362	8.6105085	0.3119965	1870.26	SLBP	stem-loop binding protein
399687	6.39e-16	7.71e-18	0.1094	-8.6038416	-0.9409666	2273.41	MYO18A	myosin XVIIIA
196527	6.60e-16	8.01e-18	0.0755	-8.5994365	-0.649248	4901.33	ANO6	anoctamin 6
101928034	7.45e-16	9.08e-18	0.5387	-8.5849993	-4.6250619	168.61	LOC101928034	uncharacterized LOC101928034
84951	7.63e-16	9.34e-18	0.8068	-8.5817909	-6.9236153	34.96	TNS4	tensin 4
57537	8.32e-16	1.02e-17	0.5378	-8.5712459	-4.6096167	618.26	SORCS2	sortilin related VPS10 domain containing receptor 2
3552	8.85e-16	1.09e-17	0.5924	-8.5637155	-5.0735572	39.45	IL1A	interleukin 1 alpha
582	9.33e-16	1.16e-17	0.051	-8.5570522	-0.4363137	887.65	BBS1	Bardet-Biedl syndrome 1
220042	9.57e-16	1.19e-17	0.1487	8.5536035	1.2715659	264.6	DDIAS	DNA damage induced apoptosis suppressor
2118	9.66e-16	1.21e-17	0.1118	8.5519976	0.956297	2845.48	ETV4	ETS variant transcription factor 4
130271	1.20e-15	1.51e-17	0.2836	-8.5265025	-2.4185327	119.54	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2
18	1.23e-15	1.56e-17	0.1739	-8.5226478	-1.4817626	711.38	ABAT	4-aminobutyrate aminotransferase
1305	1.33e-15	1.68e-17	0.8226	-8.5137064	-7.002952	60.99	COL13A1	collagen type XIII alpha 1 chain
5091	1.59e-15	2.03e-17	0.2201	-8.4921708	-1.869374	747.1	PC	pyruvate carboxylase
127534	1.82e-15	2.32e-17	0.6481	-8.4763191	-5.4938789	25.47	GJB4	gap junction protein beta 4
25818	1.92e-15	2.46e-17	0.7446	-8.4695793	-6.3061835	135.12	KLK5	kallikrein related peptidase 5
1969	2.73e-15	3.53e-17	0.0739	-8.4276415	-0.6230263	6704.17	EPHA2	EPH receptor A2
3777	2.74e-15	3.55e-17	1.1294	-8.4268696	-9.5174817	427.1	KCNK3	potassium two pore domain channel subfamily K member 3
9469	2.77e-15	3.60e-17	0.1269	-8.4251129	-1.0694954	3718.58	CHST3	carbohydrate sulfotransferase 3
109729127	2.78e-15	3.64e-17	0.7019	-8.4240815	-5.9129573	26.3	KRT7-AS	KRT7 antisense RNA 1
80781	2.93e-15	3.85e-17	0.2687	-8.4172621	-2.2619541	12087.95	COL18A1	collagen type XVIII alpha 1 chain
